name,role,crit,crit_damage,attack,energy,basic,heavy,skill,liberation,attack_weight
丹瑾,副C,75,260,2450,115,0.10,0.08,0.61,0.20,0.20
丽贝卡,副C,80,260,2400,120,0.15,0.10,0.60,0.15,0.25
仇远,辅助,68,210,2150,145,0.12,0.08,0.58,0.22,0.15
今汐,主C,75,260,2400,120,0.10,0.05,0.30,0.50,0.20
凌阳,主C,80,260,2400,115,0.30,0.15,0.40,0.15,0.25
千咲,辅助,68,225,2200,140,0.08,0.05,0.55,0.32,0.20
卜灵,辅助,70,240,2300,140,0.05,0.11,0.63,0.21,0.25
卡卡罗,主C,78,265,2450,118,0.13,0.09,0.65,0.13,0.25
卡提希娅,主C,80,280,2600,110,0.45,0.12,0.38,0.05,0.28
吟霖,副C,80,260,2400,120,0.15,0.10,0.55,0.20,0.25
嘉贝莉娜,辅助,65,220,2100,145,0.05,0.02,0.27,0.65,0.25
坎特蕾拉,主C,75,250,2500,115,0.22,0.35,0.30,0.13,0.28
夏空,主C,80,270,2500,115,0.20,0.05,0.55,0.20,0.25
奥古斯塔,主C,78,265,2500,115,0.15,0.10,0.60,0.15,0.25
守岸人,奶妈,65,220,2100,135,0.08,0.07,0.55,0.30,0.15
安可,主C,75,260,2500,115,0.11,0.11,0.67,0.11,0.25
尤诺,主C,75,260,2400,115,0.15,0.10,0.45,0.30,0.25
布兰特,副C,80,260,2500,115,0.12,0.08,0.45,0.35,0.22
弗洛洛,主C,80,265,2550,115,0.13,0.08,0.63,0.16,0.22
忌炎,主C,75,260,2500,120,0.55,0.25,0.12,0.08,0.25
折枝,主C,80,265,2550,115,0.48,0.14,0.28,0.10,0.28
散华,副C,80,265,2450,115,0.35,0.40,0.15,0.10,0.22
景燃,主C,70,280,2400,115,0.40,0.05,0.50,0.05,0.25
桃祈,主C,80,260,2500,115,0.30,0.15,0.40,0.15,0.15
椿,主C,80,260,2500,120,0.40,0.30,0.20,0.10,0.25
洛可可,主C,80,260,2500,115,0.40,0.05,0.50,0.05,0.25
洛瑟菈,辅助,70,230,2300,140,0.15,0.10,0.40,0.35,0.20
清霄,辅助,65,220,2250,145,0.25,0.15,0.35,0.25,0.15
渊武,主C,85,260,2400,115,0.55,0.20,0.10,0.15,0.25
漂泊者·导电,副C,70,280,2200,130,0.10,0.05,0.50,0.25,0.10
漂泊者·气动,辅助,70,280,2000,140,0.10,0.05,0.45,0.30,0.10
漂泊者·湮灭,主C,75,280,2300,130,0.15,0.05,0.45,0.25,0.10
漂泊者·衍射,主C,75,280,2200,130,0.10,0.05,0.50,0.25,0.10
灯灯,主C,80,260,2400,115,0.16,0.05,0.65,0.13,0.28
炽霞,辅助,68,220,2250,145,0.15,0.20,0.55,0.10,0.25
爱弥斯,副C,78,275,2600,125,0.15,0.20,0.45,0.20,0.25
珂莱塔,副C,78,260,2450,118,0.25,0.15,0.50,0.10,0.22
琳奈,副C,78,265,2450,118,0.15,0.10,0.55,0.20,0.25
白芷,辅助,65,220,2200,135,0.05,0.05,0.60,0.30,0.15
相里要,主C,75,250,2400,120,0.35,0.30,0.25,0.10,0.25
秋水,主C,80,260,2500,120,0.25,0.15,0.50,0.10,0.25
秧秧,辅助,70,240,2200,135,0.15,0.15,0.45,0.25,0.18
秧秧·玄翎,辅助,70,220,2200,145,0.05,0.05,0.35,0.55,0.15
穗穗,辅助,68,225,2350,145,0.15,0.08,0.40,0.37,0.22
绯雪,主C,80,260,2500,115,0.15,0.35,0.30,0.20,0.25
维里奈,奶妈,65,220,2100,140,0.05,0.05,0.35,0.55,0.15
莫宁,主C,75,260,2400,120,0.15,0.20,0.40,0.25,0.20
莫特斐,副C,75,260,2400,115,0.15,0.10,0.60,0.15,0.25
菲比,辅助,70,230,2200,140,0.15,0.10,0.55,0.20,0.15
西格莉卡,副C,80,260,2450,120,0.25,0.15,0.45,0.15,0.22
赞妮,主C,80,260,2500,115,0.45,0.25,0.20,0.10,0.22
达妮娅,主C,80,260,2500,115,0.50,0.30,0.15,0.05,0.25
釉瑚,副C,80,260,2400,120,0.10,0.08,0.61,0.20,0.25
鉴心,主C,80,270,2500,110,0.45,0.30,0.20,0.05,0.25
长离,副C,78,260,2500,125,0.20,0.15,0.45,0.20,0.22
陆·赫斯,主C,85,280,2600,120,0.15,0.20,0.45,0.20,0.25
露帕,副C,80,260,2400,120,0.35,0.10,0.45,0.10,0.28
露西,主C,82,265,2650,122,0.12,0.08,0.61,0.18,0.28
